Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 1,0.65057373046875,1.78863525390625e-05,-0.31427001953125,-2.03704833984375e-07,1.3625330240885416,1.78863525390625e-05,0.3976892740885416,-2.03704833984375e-07
Cycle 2,0.650634765625,1.455078125e-05,0.059295654296875,-2.9052734375e-07,1.3625940592447916,1.455078125e-05,0.7712549479166666,-2.9052734375e-07
Cycle 3,0.650665283203125,1.300048828125e-05,-0.3170166015625,-6.036376953125e-07,1.3626245768229166,1.300048828125e-05,0.3949426920572916,-6.036376953125e-07
Cycle 4,0.650726318359375,1.21124267578125e-05,-0.31695556640625,-8.758544921875e-07,1.3626856119791666,1.21124267578125e-05,0.3950037272135416,-8.758544921875e-07
Cycle 5,0.650665283203125,1.14837646484375e-05,-0.3193359375,-8.062744140625e-07,1.3626245768229166,1.14837646484375e-05,0.3926233561197916,-8.062744140625e-07
Cycle 6,0.65069580078125,1.14532470703125e-05,0.058807373046875,-3.89495849609375e-07,1.3626550944010416,1.14532470703125e-05,0.7707666666666666,-3.89495849609375e-07
Cycle 7,0.65069580078125,1.16485595703125e-05,-0.32135009765625,-2.9107666015625e-07,1.3626550944010416,1.16485595703125e-05,0.3906091959635416,-2.9107666015625e-07
Cycle 8,0.650726318359375,1.0821533203125e-05,-0.324249267578125,-4.3609619140625e-07,1.3626856119791666,1.0821533203125e-05,0.3877100260416666,-4.3609619140625e-07
Cycle 9,0.650665283203125,1.024169921875e-05,-0.32916259765625,-4.5257568359375e-07,1.3626245768229166,1.024169921875e-05,0.3827966959635416,-4.5257568359375e-07
Cycle 10,0.65069580078125,9.89990234375e-06,-0.33160400390625,-4.05364990234375e-07,1.3626550944010416,9.89990234375e-06,0.3803552897135416,-4.05364990234375e-07
Cycle 11,0.650726318359375,9.5550537109375e-06,-0.334075927734375,-3.73382568359375e-07,1.3626856119791666,9.5550537109375e-06,0.3778833658854166,-3.73382568359375e-07
Cycle 12,0.650787353515625,9.2132568359375e-06,-0.34136962890625,-3.516845703125e-07,1.3627466471354166,9.2132568359375e-06,0.3705896647135416,-3.516845703125e-07
Cycle 13,0.650787353515625,8.88671875e-06,-0.34619140625,-3.34564208984375e-07,1.3627466471354166,8.88671875e-06,0.3657678873697916,-3.34564208984375e-07
Cycle 14,0.6507568359375,8.575439453125e-06,-0.35357666015625,-3.23516845703125e-07,1.3627161295572916,8.575439453125e-06,0.3583826334635416,-3.23516845703125e-07
Cycle 15,0.650787353515625,8.3251953125e-06,-0.36090087890625,-3.01666259765625e-07,1.3627466471354166,8.3251953125e-06,0.3510584147135416,-3.01666259765625e-07
Cycle 16,0.65081787109375,7.9925537109375e-06,-0.37017822265625,-2.77191162109375e-07,1.3627771647135416,7.9925537109375e-06,0.3417810709635416,-2.77191162109375e-07
Cycle 17,0.650787353515625,7.3760986328125e-06,-0.384979248046875,-2.51922607421875e-07,1.3627466471354166,7.3760986328125e-06,0.3269800455729166,-2.51922607421875e-07
Cycle 18,0.650787353515625,6.414794921875e-06,-0.392303466796875,-2.2674560546875e-07,1.3627466471354166,6.414794921875e-06,0.3196558268229166,-2.2674560546875e-07
Cycle 19,0.65081787109375,5.18798828125e-06,-0.428955078125,-2.06268310546875e-07,1.3627771647135416,5.18798828125e-06,0.2830042154947916,-2.06268310546875e-07
Cycle 20,0.65087890625,3.924560546875e-06,-0.499664306640625,-1.96990966796875e-07,1.3628381998697916,3.924560546875e-06,0.2122949869791666,-1.96990966796875e-07
Cycle 21,0.6502685546875,2.84515380859375e-06,-0.499786376953125,-1.8896484375e-07,1.3622278483072916,2.84515380859375e-06,0.2121729166666666,-1.8896484375e-07
Cycle 22,0.650543212890625,2.05596923828125e-06,-0.499786376953125,-1.8017578125e-07,1.3625025065104166,2.05596923828125e-06,0.2121729166666666,-1.8017578125e-07
Cycle 23,0.650604248046875,1.53411865234375e-06,-0.499725341796875,-1.72210693359375e-07,1.3625635416666666,1.53411865234375e-06,0.2122339518229166,-1.72210693359375e-07
Cycle 24,0.65069580078125,1.17828369140625e-06,-0.499786376953125,-1.66107177734375e-07,1.3626550944010416,1.17828369140625e-06,0.2121729166666666,-1.66107177734375e-07
Cycle 25,0.6507568359375,9.3170166015625e-07,-0.499786376953125,-1.611328125e-07,1.3627161295572916,9.3170166015625e-07,0.2121729166666666,-1.611328125e-07
Cycle 26,0.010009765625,8.9111328125e-08,0.0026885986328125,8.7493896484375e-08,0.7219690592447916,8.9111328125e-08,0.7146478922526041,8.7493896484375e-08
